| Kernel Combination                   |   Initialization Number | Epoch Number   |   Training Loss |
|--------------------------------------|-------------------------|----------------|-----------------|
| Periodic_0 + Periodic_0 + Periodic_0 |                       5 |                |      308.286    |
| Periodic_0 + Periodic_0 * Periodic_0 |                       5 |                |      -62.8937   |
| Periodic_0 * Periodic_0 * Periodic_0 |                       5 |                |      309.438    |
| Periodic_0 + Periodic_0 + RBF_0      |                       5 |                |      -84.1154   |
| Periodic_0 + Periodic_0 * RBF_0      |                       5 |                |     -158.17     |
| Periodic_0 * Periodic_0 + RBF_0      |                       5 |                |     -180.303    |
| Periodic_0 * Periodic_0 * RBF_0      |                       5 |                |       53.3102   |
| Periodic_0 + Periodic_0 + Matern32_0 |                       5 |                |     -195.889    |
| Periodic_0 + Periodic_0 * Matern32_0 |                       5 |                |     -164.117    |
| Periodic_0 * Periodic_0 + Matern32_0 |                       5 |                |     -195.472    |
| Periodic_0 * Periodic_0 * Matern32_0 |                       5 |                |      -89.9932   |
| Periodic_0 + Periodic_0 + Matern52_0 |                       5 |                |     -170.379    |
| Periodic_0 + Periodic_0 * Matern52_0 |                       5 |                |     -140.27     |
| Periodic_0 * Periodic_0 + Matern52_0 |                       5 |                |     -188.599    |
| Periodic_0 * Periodic_0 * Matern52_0 |                       5 |                |      -77.7826   |
| Periodic_0 + Periodic_0 + Cosine_0   |                       5 |                |      -55.5238   |
| Periodic_0 + Periodic_0 * Cosine_0   |                       5 |                |       52.0849   |
| Periodic_0 * Periodic_0 + Cosine_0   |                       5 |                |       -6.30323  |
| Periodic_0 * Periodic_0 * Cosine_0   |                       5 |                |      -65.0691   |
| Periodic_0 + Periodic_0 + RQ_0       |                       5 |                |     -159.963    |
| Periodic_0 + Periodic_0 * RQ_0       |                       5 |                |     -119.001    |
| Periodic_0 * Periodic_0 + RQ_0       |                       5 |                |     -157.761    |
| Periodic_0 * Periodic_0 * RQ_0       |                       5 |                |      -75.7571   |
| Periodic_0 + Periodic_0 + Linear_0   |                       5 |                |       30.954    |
| Periodic_0 + Periodic_0 * Linear_0   |                       5 |                |      256.662    |
| Periodic_0 * Periodic_0 + Linear_0   |                       5 |                |        4.88742  |
| Periodic_0 * Periodic_0 * Linear_0   |                       5 |                |       72.0293   |
| Periodic_0 + RBF_0 + RBF_0           |                       5 |                |     -185.168    |
| Periodic_0 + RBF_0 * RBF_0           |                       5 |                |     -182.766    |
| Periodic_0 * RBF_0 + RBF_0           |                       5 |                |     -188.221    |
