| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| periodic + periodic  |                       1 |              0 |       336.278   |
| periodic + periodic  |                       1 |            100 |        43.4343  |
| periodic + periodic  |                       1 |            200 |        31.4229  |
| periodic + periodic  |                       1 |            300 |        25.8839  |
| periodic + periodic  |                       1 |            400 |        22.5206  |
| periodic + periodic  |                       1 |            500 |        20.2152  |
| periodic * periodic  |                       1 |              0 |       389.133   |
| periodic * periodic  |                       1 |            100 |        57.5426  |
| periodic * periodic  |                       1 |            200 |        41.3009  |
| periodic * periodic  |                       1 |            300 |        33.7739  |
| periodic * periodic  |                       1 |            400 |        29.1802  |
| periodic * periodic  |                       1 |            500 |        26.0184  |
| periodic + RQ        |                       1 |              0 |       141.902   |
| periodic + RQ        |                       1 |            100 |        20.2561  |
| periodic + RQ        |                       1 |            200 |        14.856   |
| periodic + RQ        |                       1 |            300 |        12.3405  |
| periodic + RQ        |                       1 |            400 |        10.7955  |
| periodic + RQ        |                       1 |            500 |         9.72451 |
| periodic * RQ        |                       1 |              0 |       246.063   |
| periodic * RQ        |                       1 |            100 |        36.0339  |
| periodic * RQ        |                       1 |            200 |        25.7364  |
| periodic * RQ        |                       1 |            300 |        20.6141  |
| periodic * RQ        |                       1 |            400 |        17.4552  |
| periodic * RQ        |                       1 |            500 |        15.3443  |
| periodic + SE        |                       1 |              0 |       345.002   |
| periodic + SE        |                       1 |            100 |        33.3728  |
| periodic + SE        |                       1 |            200 |        23.0802  |
| periodic + SE        |                       1 |            300 |        18.5202  |
| periodic + SE        |                       1 |            400 |        15.8321  |
| periodic + SE        |                       1 |            500 |        14.0353  |
| periodic * SE        |                       1 |              0 |       509.033   |
| periodic * SE        |                       1 |            100 |        62.8059  |
| periodic * SE        |                       1 |            200 |        43.3234  |
| periodic * SE        |                       1 |            300 |        34.6316  |
| periodic * SE        |                       1 |            400 |        29.4317  |
| periodic * SE        |                       1 |            500 |        25.8957  |
| RQ + RQ              |                       1 |              0 |       107.878   |
| RQ + RQ              |                       1 |            100 |        17.915   |
| RQ + RQ              |                       1 |            200 |        13.3125  |
| RQ + RQ              |                       1 |            300 |        11.1432  |
| RQ + RQ              |                       1 |            400 |         9.79845 |
| RQ + RQ              |                       1 |            500 |         8.85997 |
| RQ * RQ              |                       1 |              0 |       217.153   |
| RQ * RQ              |                       1 |            100 |        33.6568  |
| RQ * RQ              |                       1 |            200 |        24.4516  |
| RQ * RQ              |                       1 |            300 |        20.1121  |
| RQ * RQ              |                       1 |            400 |        17.4246  |
| RQ * RQ              |                       1 |            500 |        15.5512  |
| RQ + SE              |                       1 |              0 |       187.934   |
| RQ + SE              |                       1 |            100 |        25.0453  |
| RQ + SE              |                       1 |            200 |        17.7723  |
| RQ + SE              |                       1 |            300 |        14.5102  |
| RQ + SE              |                       1 |            400 |        12.5533  |
| RQ + SE              |                       1 |            500 |        11.2062  |
| RQ * SE              |                       1 |              0 |       383.472   |
| RQ * SE              |                       1 |            100 |        52.6656  |
| RQ * SE              |                       1 |            200 |        36.7071  |
| RQ * SE              |                       1 |            300 |        29.1421  |
| RQ * SE              |                       1 |            400 |        24.5148  |
| RQ * SE              |                       1 |            500 |        21.3656  |
| SE + SE              |                       1 |              0 |      1902.01    |
| SE + SE              |                       1 |            100 |       101.649   |
| SE + SE              |                       1 |            200 |        65.5205  |
| SE + SE              |                       1 |            300 |        50.0341  |
| SE + SE              |                       1 |            400 |        41.1904  |
| SE + SE              |                       1 |            500 |        35.4128  |
| SE * SE              |                       1 |              0 |       813.711   |
| SE * SE              |                       1 |            100 |        89.174   |
| SE * SE              |                       1 |            200 |        59.3729  |
| SE * SE              |                       1 |            300 |        46.3728  |
| SE * SE              |                       1 |            400 |        38.7268  |
| SE * SE              |                       1 |            500 |        33.5619  |

| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| RQ + RQ + RQ + RQ    |                       1 |              0 |        56.7127  |
| RQ + RQ + RQ + RQ    |                       1 |            100 |        10.1488  |
| RQ + RQ + RQ + RQ    |                       1 |            200 |         7.80631 |
| RQ + RQ + RQ + RQ    |                       1 |            300 |         6.70615 |
| RQ + RQ + RQ + RQ    |                       1 |            400 |         6.02567 |
| RQ + RQ + RQ + RQ    |                       1 |            500 |         5.55162 |
| RQ + RQ * RQ + RQ    |                       1 |              0 |        58.1264  |
| RQ + RQ * RQ + RQ    |                       1 |            100 |        10.1754  |
| RQ + RQ * RQ + RQ    |                       1 |            200 |         7.83147 |
| RQ + RQ * RQ + RQ    |                       1 |            300 |         6.72902 |
