| Kernel Combination                        |   Initialization Number |   Training Loss |
| SE * SE * SE * SE                         |                       1 |        21.7868  |

| Kernel Combination                                             |   Initialization Number |   Training Loss |
|----------------------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic + periodic * RQ + RQ |                       1 |         4.24276 |
| periodic + periodic + periodic * periodic + periodic * RQ + RQ |                       1 |         2.44331 |
| periodic + periodic * periodic * periodic + periodic * RQ + RQ |                       1 |         3.12646 |
| periodic * periodic + periodic * periodic + periodic * RQ + RQ |                       1 |         2.96247 |
| periodic * periodic * periodic * periodic + periodic * RQ + RQ |                       1 |         5.59299 |
| periodic + periodic + RQ + periodic + periodic * RQ + RQ       |                       1 |         4.47043 |
| periodic + periodic + RQ * periodic + periodic * RQ + RQ       |                       1 |         2.27655 |
| periodic + periodic * RQ * periodic + periodic * RQ + RQ       |                       1 |         2.99657 |
| periodic * periodic + RQ + periodic + periodic * RQ + RQ       |                       1 |         5.11007 |
| periodic * periodic + RQ * periodic + periodic * RQ + RQ       |                       1 |         4.64579 |
| periodic * periodic * RQ * periodic + periodic * RQ + RQ       |                       1 |         6.12649 |
| periodic + periodic + SE + periodic + periodic * RQ + RQ       |                       1 |         4.37049 |
| periodic + periodic + SE * periodic + periodic * RQ + RQ       |                       1 |         2.28234 |
| periodic + periodic * SE * periodic + periodic * RQ + RQ       |                       1 |         3.95417 |
| periodic * periodic + SE + periodic + periodic * RQ + RQ       |                       1 |         5.08329 |
| periodic * periodic + SE * periodic + periodic * RQ + RQ       |                       1 |         4.67036 |
| periodic * periodic * SE * periodic + periodic * RQ + RQ       |                       1 |         5.55269 |
| periodic + RQ + RQ + periodic + periodic * RQ + RQ             |                       1 |         5.2546  |
| periodic + RQ + RQ * periodic + periodic * RQ + RQ             |                       1 |         2.27175 |
| periodic + RQ * RQ + periodic + periodic * RQ + RQ             |                       1 |         5.12632 |
| periodic + RQ * RQ * periodic + periodic * RQ + RQ             |                       1 |         2.92121 |
| periodic * RQ + RQ * periodic + periodic * RQ + RQ             |                       1 |         2.8869  |
| periodic * RQ * RQ * periodic + periodic * RQ + RQ             |                       1 |         7.12439 |
| periodic + RQ + SE + periodic + periodic * RQ + RQ             |                       1 |         4.88054 |
| periodic + RQ + SE * periodic + periodic * RQ + RQ             |                       1 |         2.25485 |
| periodic + RQ * SE + periodic + periodic * RQ + RQ             |                       1 |         5.2733  |
| periodic + RQ * SE * periodic + periodic * RQ + RQ             |                       1 |         5.09976 |
| periodic * RQ + SE + periodic + periodic * RQ + RQ             |                       1 |         5.04185 |
| periodic * RQ + SE * periodic + periodic * RQ + RQ             |                       1 |         4.62591 |
| periodic * RQ * SE * periodic + periodic * RQ + RQ             |                       1 |         7.03995 |
| periodic + SE + SE + periodic + periodic * RQ + RQ             |                       1 |         5.48118 |
| periodic + SE + SE * periodic + periodic * RQ + RQ             |                       1 |         3.00539 |
| periodic + SE * SE + periodic + periodic * RQ + RQ             |                       1 |         5.29907 |
| periodic + SE * SE * periodic + periodic * RQ + RQ             |                       1 |         5.21339 |
| periodic * SE + SE * periodic + periodic * RQ + RQ             |                       1 |         4.75902 |
| periodic * SE * SE * periodic + periodic * RQ + RQ             |                       1 |         7.36299 |
| RQ + RQ + RQ + periodic + periodic * RQ + RQ                   |                       1 |         6.18124 |
| RQ + RQ + RQ * periodic + periodic * RQ + RQ                   |                       1 |         2.21154 |
| RQ + RQ * RQ + periodic + periodic * RQ + RQ                   |                       1 |         5.09179 |
| RQ + RQ * RQ * periodic + periodic * RQ + RQ                   |                       1 |         4.63643 |
| RQ * RQ + RQ * periodic + periodic * RQ + RQ                   |                       1 |         4.58052 |
| RQ * RQ * RQ + periodic + periodic * RQ + RQ                   |                       1 |         5.72318 |
| RQ * RQ * RQ * periodic + periodic * RQ + RQ                   |                       1 |         7.00147 |
| RQ + RQ + SE + periodic + periodic * RQ + RQ                   |                       1 |         7.75836 |
| RQ + RQ + SE * periodic + periodic * RQ + RQ                   |                       1 |         3.04221 |
| RQ + RQ * SE + periodic + periodic * RQ + RQ                   |                       1 |         5.29745 |
| RQ + RQ * SE * periodic + periodic * RQ + RQ                   |                       1 |         5.13018 |
| RQ * RQ + SE + periodic + periodic * RQ + RQ                   |                       1 |         5.0315  |
| RQ * RQ + SE * periodic + periodic * RQ + RQ                   |                       1 |         2.79643 |
| RQ * RQ * SE + periodic + periodic * RQ + RQ                   |                       1 |         5.78065 |
| RQ * RQ * SE * periodic + periodic * RQ + RQ                   |                       1 |         7.13132 |
| RQ + SE + SE + periodic + periodic * RQ + RQ                   |                       1 |         7.62572 |
| RQ + SE + SE * periodic + periodic * RQ + RQ                   |                       1 |         2.99916 |
| RQ + SE * SE + periodic + periodic * RQ + RQ                   |                       1 |         5.30684 |
| RQ + SE * SE * periodic + periodic * RQ + RQ                   |                       1 |         5.36714 |
| RQ * SE + SE + periodic + periodic * RQ + RQ                   |                       1 |         5.05923 |
| RQ * SE + SE * periodic + periodic * RQ + RQ                   |                       1 |         4.67741 |
| RQ * SE * SE + periodic + periodic * RQ + RQ                   |                       1 |         5.70254 |
| RQ * SE * SE * periodic + periodic * RQ + RQ                   |                       1 |         7.11503 |
| SE + SE + SE + periodic + periodic * RQ + RQ                   |                       1 |         8.14657 |
| SE + SE + SE * periodic + periodic * RQ + RQ                   |                       1 |         5.07294 |
| SE + SE * SE + periodic + periodic * RQ + RQ                   |                       1 |         5.46072 |
| SE + SE * SE * periodic + periodic * RQ + RQ                   |                       1 |         4.05625 |
| SE * SE + SE * periodic + periodic * RQ + RQ                   |                       1 |         3.56442 |
| SE * SE * SE + periodic + periodic * RQ + RQ                   |                       1 |         5.79771 |
| SE * SE * SE * periodic + periodic * RQ + RQ                   |                       1 |         5.79447 |

