| Kernel Combination                        |   Initialization Number |   Training Loss |
|-------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic |                       1 |        31.6022  |
| periodic + periodic + periodic * periodic |                       1 |        32.3308  |
| periodic + periodic * periodic * periodic |                       1 |        34.2193  |
| periodic * periodic + periodic * periodic |                       1 |        33.8875  |
| periodic * periodic * periodic * periodic |                       1 |        39.7954  |
| periodic + periodic + periodic + RQ       |                       1 |         6.58634 |
| periodic + periodic + periodic * RQ       |                       1 |         6.81195 |
| periodic + periodic * periodic + RQ       |                       1 |         7.19358 |
| periodic + periodic * periodic * RQ       |                       1 |         9.38288 |
| periodic * periodic + periodic * RQ       |                       1 |         9.36783 |
| periodic * periodic * periodic + RQ       |                       1 |         9.2934  |
| periodic * periodic * periodic * RQ       |                       1 |        16.576   |
| periodic + periodic + periodic + SE       |                       1 |         7.56772 |
| periodic + periodic + periodic * SE       |                       1 |        12.6518  |
| periodic + periodic * periodic + SE       |                       1 |         7.49352 |
| periodic + periodic * periodic * SE       |                       1 |        12.465   |
| periodic * periodic + periodic * SE       |                       1 |        11.6352  |
| periodic * periodic * periodic + SE       |                       1 |         9.90803 |
| periodic * periodic * periodic * SE       |                       1 |        19.9862  |
| periodic + periodic + RQ + RQ             |                       1 |         6.16115 |
| periodic + periodic + RQ * RQ             |                       1 |         7.21035 |
| periodic + periodic * RQ + RQ             |                       1 |         6.96302 |
| periodic + periodic * RQ * RQ             |                       1 |         9.37018 |
| periodic * periodic + RQ + RQ             |                       1 |         6.93595 |
| periodic * periodic + RQ * RQ             |                       1 |         9.3234  |
| periodic * periodic * RQ + RQ             |                       1 |         9.19084 |
| periodic * periodic * RQ * RQ             |                       1 |        16.2785  |
| periodic + periodic + RQ + SE             |                       1 |         6.68388 |
| periodic + periodic + RQ * SE             |                       1 |        10.8019  |
| periodic + periodic * RQ + SE             |                       1 |         7.22647 |
| periodic + periodic * RQ * SE             |                       1 |        10.6473  |
| periodic * periodic + RQ + SE             |                       1 |         6.91161 |
| periodic * periodic + RQ * SE             |                       1 |         9.40545 |
| periodic * periodic * RQ + SE             |                       1 |         9.20793 |
| periodic * periodic * RQ * SE             |                       1 |        16.3541  |
| periodic + periodic + SE + SE             |                       1 |         8.97766 |
| periodic + periodic + SE * SE             |                       1 |        12.1368  |
| periodic + periodic * SE + SE             |                       1 |         9.35105 |
| periodic + periodic * SE * SE             |                       1 |        12.5037  |
| periodic * periodic + SE + SE             |                       1 |         7.79677 |
| periodic * periodic + SE * SE             |                       1 |        11.6431  |
| periodic * periodic * SE + SE             |                       1 |        11.1724  |
| periodic * periodic * SE * SE             |                       1 |        18.6992  |
| periodic + RQ + RQ + RQ                   |                       1 |         5.91007 |
| periodic + RQ + RQ * RQ                   |                       1 |         7.03048 |
| periodic + RQ * RQ * RQ                   |                       1 |         9.29089 |
| periodic * RQ + RQ + RQ                   |                       1 |         6.90149 |
| periodic * RQ + RQ * RQ                   |                       1 |         9.25586 |
| periodic * RQ * RQ + RQ                   |                       1 |         9.16022 |
| periodic * RQ * RQ * RQ                   |                       1 |        16.2025  |
| periodic + RQ + RQ + SE                   |                       1 |         6.33071 |
| periodic + RQ + RQ * SE                   |                       1 |        10.3897  |
| periodic + RQ * RQ + SE                   |                       1 |         7.10341 |
| periodic + RQ * RQ * SE                   |                       1 |        10.4034  |
| periodic * RQ + RQ + SE                   |                       1 |         6.88341 |
| periodic * RQ + RQ * SE                   |                       1 |         9.37757 |
| periodic * RQ * RQ + SE                   |                       1 |         9.16768 |
| periodic * RQ * RQ * SE                   |                       1 |        16.2263  |
| periodic + RQ + SE + SE                   |                       1 |         7.55211 |
| periodic + RQ + SE * SE                   |                       1 |        10.6274  |
| periodic + RQ * SE + SE                   |                       1 |         8.16225 |
| periodic + RQ * SE * SE                   |                       1 |        11.0421  |
| periodic * RQ + SE + SE                   |                       1 |         6.96316 |
| periodic * RQ + SE * SE                   |                       1 |         9.47144 |
| periodic * RQ * SE + SE                   |                       1 |         9.19809 |
| periodic * RQ * SE * SE                   |                       1 |        16.3728  |
| periodic + SE + SE + SE                   |                       1 |        10.7984  |
| periodic + SE + SE * SE                   |                       1 |        11.7611  |
| periodic + SE * SE * SE                   |                       1 |        13.8688  |
| periodic * SE + SE + SE                   |                       1 |         8.75437 |
| periodic * SE + SE * SE                   |                       1 |        11.8207  |
| periodic * SE * SE + SE                   |                       1 |        11.0128  |
| periodic * SE * SE * SE                   |                       1 |        18.8772  |
| RQ + RQ + RQ + RQ                         |                       1 |         5.69022 |
| RQ + RQ + RQ * RQ                         |                       1 |         6.89358 |
| RQ + RQ * RQ * RQ                         |                       1 |         9.15817 |
| RQ * RQ + RQ * RQ                         |                       1 |         9.12158 |
| RQ * RQ * RQ * RQ                         |                       1 |        15.9625  |
| RQ + RQ + RQ + SE                         |                       1 |         6.01324 |
| RQ + RQ + RQ * SE                         |                       1 |         9.94632 |
| RQ + RQ * RQ + SE                         |                       1 |         7.00314 |
| RQ + RQ * RQ * SE                         |                       1 |        10.1664  |
| RQ * RQ + RQ * SE                         |                       1 |         9.52032 |
| RQ * RQ * RQ + SE                         |                       1 |         9.14259 |
| RQ * RQ * RQ * SE                         |                       1 |        16.15    |
| RQ + RQ + SE + SE                         |                       1 |         6.92088 |
| RQ + RQ + SE * SE                         |                       1 |        10.174   |
| RQ + RQ * SE + SE                         |                       1 |         8.05626 |
| RQ + RQ * SE * SE                         |                       1 |        10.7424  |
| RQ * RQ + SE + SE                         |                       1 |         6.90751 |
| RQ * RQ + SE * SE                         |                       1 |         9.38221 |
| RQ * RQ * SE + SE                         |                       1 |         9.14819 |
| RQ * RQ * SE * SE                         |                       1 |        16.2192  |
| RQ + SE + SE + SE                         |                       1 |         8.77287 |
| RQ + SE + SE * SE                         |                       1 |        10.8457  |
| RQ + SE * SE * SE                         |                       1 |        13.0337  |
| RQ * SE + SE + SE                         |                       1 |         7.4339  |
| RQ * SE + SE * SE                         |                       1 |        10.0549  |
| RQ * SE * SE + SE                         |                       1 |         9.34134 |
| RQ * SE * SE * SE                         |                       1 |        16.8434  |
| SE + SE + SE + SE                         |                       1 |        21.051   |
| SE + SE + SE * SE                         |                       1 |        14.6408  |
| SE + SE * SE * SE                         |                       1 |        15.7976  |
| SE * SE + SE * SE                         |                       1 |        12.5763  |
| SE * SE * SE * SE                         |                       1 |        21.7612  |

| Kernel Combination                                 |   Initialization Number |   Training Loss |
|----------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + RQ + RQ + RQ + RQ |                       1 |         4.50496 |
| periodic + periodic + periodic * RQ + RQ + RQ + RQ |                       1 |         3.4888  |
| periodic + periodic * periodic + RQ + RQ + RQ + RQ |                       1 |         4.60573 |
| periodic + periodic * periodic * RQ + RQ + RQ + RQ |                       1 |         4.0736  |
| periodic * periodic + periodic * RQ + RQ + RQ + RQ |                       1 |         4.01708 |
| periodic * periodic * periodic + RQ + RQ + RQ + RQ |                       1 |         5.02654 |
| periodic * periodic * periodic * RQ + RQ + RQ + RQ |                       1 |         4.29084 |
| periodic + periodic + RQ + RQ + RQ + RQ + RQ       |                       1 |         4.39305 |
| periodic + periodic + RQ * RQ + RQ + RQ + RQ       |                       1 |         3.478   |
| periodic + periodic * RQ + RQ + RQ + RQ + RQ       |                       1 |         4.57625 |
| periodic + periodic * RQ * RQ + RQ + RQ + RQ       |                       1 |         4.03732 |
| periodic * periodic + RQ + RQ + RQ + RQ + RQ       |                       1 |         4.57082 |
| periodic * periodic + RQ * RQ + RQ + RQ + RQ       |                       1 |         4.00739 |
| periodic * periodic * RQ + RQ + RQ + RQ + RQ       |                       1 |         4.96944 |
| periodic * periodic * RQ * RQ + RQ + RQ + RQ       |                       1 |         5.84323 |
| periodic + periodic + SE + RQ + RQ + RQ + RQ       |                       1 |         4.47727 |
| periodic + periodic + SE * RQ + RQ + RQ + RQ       |                       1 |         1.94412 |
| periodic + periodic * SE + RQ + RQ + RQ + RQ       |                       1 |         4.64652 |
| periodic + periodic * SE * RQ + RQ + RQ + RQ       |                       1 |         2.38944 |
| periodic * periodic + SE + RQ + RQ + RQ + RQ       |                       1 |         4.57934 |
| periodic * periodic + SE * RQ + RQ + RQ + RQ       |                       1 |         2.20782 |
| periodic * periodic * SE + RQ + RQ + RQ + RQ       |                       1 |         5.04593 |
| periodic * periodic * SE * RQ + RQ + RQ + RQ       |                       1 |         5.92665 |
| periodic + RQ + RQ + RQ + RQ + RQ + RQ             |                       1 |         4.30179 |
| periodic + RQ + RQ * RQ + RQ + RQ + RQ             |                       1 |         1.64172 |
| periodic + RQ * RQ * RQ + RQ + RQ + RQ             |                       1 |         2.28594 |
| periodic * RQ + RQ + RQ + RQ + RQ + RQ             |                       1 |         4.59878 |
| periodic * RQ + RQ * RQ + RQ + RQ + RQ             |                       1 |         2.24813 |
| periodic * RQ * RQ + RQ + RQ + RQ + RQ             |                       1 |         5.05627 |
| periodic * RQ * RQ * RQ + RQ + RQ + RQ             |                       1 |         5.87483 |
| periodic + RQ + SE + RQ + RQ + RQ + RQ             |                       1 |         4.38978 |
| periodic + RQ + SE * RQ + RQ + RQ + RQ             |                       1 |         3.50548 |
| periodic + RQ * SE * RQ + RQ + RQ + RQ             |                       1 |         4.57986 |
| periodic * RQ + SE + RQ + RQ + RQ + RQ             |                       1 |         4.55477 |
| periodic * RQ + SE * RQ + RQ + RQ + RQ             |                       1 |         4.02768 |
| periodic * RQ * SE + RQ + RQ + RQ + RQ             |                       1 |         3.19161 |
| periodic * RQ * SE * RQ + RQ + RQ + RQ             |                       1 |         4.43581 |
| periodic + SE + SE + RQ + RQ + RQ + RQ             |                       1 |         4.55952 |
| periodic + SE + SE * RQ + RQ + RQ + RQ             |                       1 |         3.01967 |
| periodic + SE * SE + RQ + RQ + RQ + RQ             |                       1 |         4.63295 |
| periodic + SE * SE * RQ + RQ + RQ + RQ             |                       1 |         4.42581 |
| periodic * SE + SE + RQ + RQ + RQ + RQ             |                       1 |         4.55692 |
| periodic * SE + SE * RQ + RQ + RQ + RQ             |                       1 |         4.03113 |
| periodic * SE * SE + RQ + RQ + RQ + RQ             |                       1 |         5.00858 |
| periodic * SE * SE * RQ + RQ + RQ + RQ             |                       1 |         5.87394 |
| RQ + RQ + RQ + RQ + RQ + RQ + RQ                   |                       1 |         4.22308 |
| RQ + RQ + RQ * RQ + RQ + RQ + RQ                   |                       1 |         3.40062 |
| RQ + RQ * RQ * RQ + RQ + RQ + RQ                   |                       1 |         3.97233 |
| RQ * RQ + RQ * RQ + RQ + RQ + RQ                   |                       1 |         3.96371 |
| RQ * RQ * RQ * RQ + RQ + RQ + RQ                   |                       1 |         5.71051 |
| RQ + RQ + SE + RQ + RQ + RQ + RQ                   |                       1 |         4.3061  |
| RQ + RQ + SE * RQ + RQ + RQ + RQ                   |                       1 |         3.45956 |
| RQ + RQ * SE * RQ + RQ + RQ + RQ                   |                       1 |         4.4963  |
| RQ * RQ + SE + RQ + RQ + RQ + RQ                   |                       1 |         4.54034 |
| RQ * RQ + SE * RQ + RQ + RQ + RQ                   |                       1 |         4.0159  |
| RQ * RQ * SE * RQ + RQ + RQ + RQ                   |                       1 |         5.82382 |
| RQ + SE + SE + RQ + RQ + RQ + RQ                   |                       1 |         4.46077 |
| RQ + SE + SE * RQ + RQ + RQ + RQ                   |                       1 |         3.7099  |
| RQ + SE * SE + RQ + RQ + RQ + RQ                   |                       1 |         4.6066  |
| RQ + SE * SE * RQ + RQ + RQ + RQ                   |                       1 |         4.30582 |
| RQ * SE + SE * RQ + RQ + RQ + RQ                   |                       1 |         4.04655 |
| RQ * SE * SE * RQ + RQ + RQ + RQ                   |                       1 |         5.9319  |
| SE + SE + SE + RQ + RQ + RQ + RQ                   |                       1 |         4.69892 |
| SE + SE + SE * RQ + RQ + RQ + RQ                   |                       1 |         4.18691 |
| SE + SE * SE + RQ + RQ + RQ + RQ                   |                       1 |         4.64871 |
| SE + SE * SE * RQ + RQ + RQ + RQ                   |                       1 |         4.45532 |
| SE * SE + SE * RQ + RQ + RQ + RQ                   |                       1 |         4.12125 |
| SE * SE * SE + RQ + RQ + RQ + RQ                   |                       1 |         5.00242 |
| SE * SE * SE * RQ + RQ + RQ + RQ                   |                       1 |         5.93985 |

