| Kernel Combination   |   Initialization Number |   Training Loss |
|----------------------|-------------------------|-----------------|
| periodic + periodic  |                       1 |         36.0252 |
| periodic * periodic  |                       1 |         41.3031 |
| periodic + RQ        |                       1 |         13.1781 |
| periodic * RQ        |                       1 |         18.0977 |
| periodic + SE        |                       1 |         15.1756 |
| periodic * SE        |                       1 |         29.1578 |
| RQ + RQ              |                       1 |         17.4894 |
| RQ * RQ              |                       1 |         16.745  |
| RQ + SE              |                       1 |         22.291  |
| RQ * SE              |                       1 |         38.4667 |
| SE + SE              |                       1 |         39.5096 |
| SE * SE              |                       1 |         38.1036 |

| Kernel Combination            |   Initialization Number |   Training Loss |
|-------------------------------|-------------------------|-----------------|
| periodic + RQ + periodic + RQ |                       1 |         7.69256 |
| periodic + RQ * periodic + RQ |                       1 |         4.48748 |

| Kernel Combination                  |   Initialization Number |   Training Loss |
|-------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + RQ |                       1 |         6.96108 |
| periodic + periodic * periodic + RQ |                       1 |         4.60768 |
| periodic * periodic * periodic + RQ |                       1 |         9.57533 |
| periodic + RQ + periodic + RQ       |                       1 |         7.95848 |
| periodic + RQ * periodic + RQ       |                       1 |         6.2744  |
| periodic * RQ * periodic + RQ       |                       1 |         9.76001 |
| periodic + SE + periodic + RQ       |                       1 |         7.74696 |
| periodic + SE * periodic + RQ       |                       1 |         6.80343 |
| periodic * SE * periodic + RQ       |                       1 |        12.004   |
| RQ + RQ + periodic + RQ             |                       1 |         8.11607 |
| RQ + RQ * periodic + RQ             |                       1 |         4.60758 |
| RQ * RQ + periodic + RQ             |                       1 |         6.98342 |
| RQ * RQ * periodic + RQ             |                       1 |         9.44616 |
| RQ + SE + periodic + RQ             |                       1 |         8.42012 |
| RQ + SE * periodic + RQ             |                       1 |         4.79334 |
| RQ * SE + periodic + RQ             |                       1 |         7.05839 |
| RQ * SE * periodic + RQ             |                       1 |        10.4036  |
| SE + SE + periodic + RQ             |                       1 |         8.9876  |
| SE + SE * periodic + RQ             |                       1 |         9.19193 |
| SE * SE + periodic + RQ             |                       1 |         7.20036 |
| SE * SE * periodic + RQ             |                       1 |        11.4567  |

| Kernel Combination                                  |   Initialization Number |   Training Loss |
|-----------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + RQ * periodic + RQ |                       1 |         4.77404 |
| periodic + periodic * periodic + RQ * periodic + RQ |                       1 |         2.678   |
| periodic * periodic * periodic + RQ * periodic + RQ |                       1 |         4.5268  |
| periodic + RQ + periodic + RQ * periodic + RQ       |                       1 |         4.96266 |
| periodic + RQ * periodic + RQ * periodic + RQ       |                       1 |         2.5792  |
| periodic * RQ * periodic + RQ * periodic + RQ       |                       1 |         4.37833 |
| periodic + SE + periodic + RQ * periodic + RQ       |                       1 |         4.86955 |
| periodic + SE * periodic + RQ * periodic + RQ       |                       1 |         2.82248 |
| periodic * SE * periodic + RQ * periodic + RQ       |                       1 |         5.69736 |
| RQ + RQ + periodic + RQ * periodic + RQ             |                       1 |         5.91495 |
| RQ + RQ * periodic + RQ * periodic + RQ             |                       1 |         2.49042 |
| RQ * RQ + periodic + RQ * periodic + RQ             |                       1 |         5.14766 |
| RQ * RQ * periodic + RQ * periodic + RQ             |                       1 |         5.89134 |
| RQ + SE + periodic + RQ * periodic + RQ             |                       1 |         5.56828 |
| RQ + SE * periodic + RQ * periodic + RQ             |                       1 |         2.77927 |
| RQ * SE + periodic + RQ * periodic + RQ             |                       1 |         5.13545 |
| RQ * SE * periodic + RQ * periodic + RQ             |                       1 |         6.54106 |
| SE + SE + periodic + RQ * periodic + RQ             |                       1 |         7.28621 |
| SE + SE * periodic + RQ * periodic + RQ             |                       1 |         5.22554 |
| SE * SE + periodic + RQ * periodic + RQ             |                       1 |         5.19869 |
| SE * SE * periodic + RQ * periodic + RQ             |                       1 |         7.64891 |

| Kernel Combination                                            |   Initialization Number |   Training Loss |
|---------------------------------------------------------------|-------------------------|-----------------|
