| Kernel Combination      |   Initialization Number | Epoch Number   |   Training Loss |
| Periodic_0 + Linear_0 * Matern32_0 + Cosine_0   |                       5 |                |       -142.875  |
| Periodic_0 * Linear_0 + Matern32_0 + Cosine_0   |                       5 |                |       -154.052  |
| Periodic_0 * Linear_0 * Matern32_0 + Cosine_0   |                       5 |                |       -114.988  |
| RBF_0 + RBF_0 + Matern32_0 + Cosine_0           |                       5 |                |       -154.052  |
| RBF_0 + RBF_0 * Matern32_0 + Cosine_0           |                       5 |                |       -154.052  |
| RBF_0 * RBF_0 + Matern32_0 + Cosine_0           |                       5 |                |       -154.052  |
| RBF_0 * RBF_0 * Matern32_0 + Cosine_0           |                       5 |                |       -154.051  |
| RBF_0 + Matern32_0 + Matern32_0 + Cosine_0      |                       5 |                |       -154.052  |
| RBF_0 + Matern32_0 * Matern32_0 + Cosine_0      |                       5 |                |       -154.052  |
| RBF_0 * Matern32_0 + Matern32_0 + Cosine_0      |                       5 |                |       -154.051  |
| RBF_0 * Matern32_0 * Matern32_0 + Cosine_0      |                       5 |                |       -154.051  |
| RBF_0 + Matern52_0 + Matern32_0 + Cosine_0      |                       5 |                |       -154.052  |
| RBF_0 + Matern52_0 * Matern32_0 + Cosine_0      |                       5 |                |       -154.052  |
| RBF_0 * Matern52_0 + Matern32_0 + Cosine_0      |                       5 |                |       -154.052  |
| RBF_0 * Matern52_0 * Matern32_0 + Cosine_0      |                       5 |                |       -154.052  |
| RBF_0 + Cosine_0 + Matern32_0 + Cosine_0        |                       5 |                |       -153.1    |
| RBF_0 + Cosine_0 * Matern32_0 + Cosine_0        |                       5 |                |       -154.052  |
| RBF_0 * Cosine_0 + Matern32_0 + Cosine_0        |                       5 |                |       -154.052  |
| RBF_0 * Cosine_0 * Matern32_0 + Cosine_0        |                       5 |                |       -151.516  |
| RBF_0 + RQ_0 + Matern32_0 + Cosine_0            |                       5 |                |       -154.052  |
| RBF_0 + RQ_0 * Matern32_0 + Cosine_0            |                       5 |                |       -154.052  |
| RBF_0 * RQ_0 + Matern32_0 + Cosine_0            |                       5 |                |       -154.071  |
| RBF_0 * RQ_0 * Matern32_0 + Cosine_0            |                       5 |                |       -153.27   |
| RBF_0 + Linear_0 + Matern32_0 + Cosine_0        |                       5 |                |       -151.517  |
| RBF_0 + Linear_0 * Matern32_0 + Cosine_0        |                       5 |                |       -151.517  |
| RBF_0 * Linear_0 + Matern32_0 + Cosine_0        |                       5 |                |       -154.052  |
| RBF_0 * Linear_0 * Matern32_0 + Cosine_0        |                       5 |                |       -133.458  |
| Matern32_0 + Matern32_0 + Matern32_0 + Cosine_0 |                       5 |                |       -152.232  |
