| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| periodic + periodic  |                       1 |              0 |       332.742   |
| periodic + periodic  |                       1 |            100 |        42.6424  |
| periodic + periodic  |                       1 |            200 |        30.8602  |
| periodic + periodic  |                       1 |            300 |        25.4268  |
| periodic + periodic  |                       1 |            400 |        22.1272  |
| periodic + periodic  |                       1 |            500 |        19.8652  |
| periodic * periodic  |                       1 |              0 |       384.175   |
| periodic * periodic  |                       1 |            100 |        56.8642  |
| periodic * periodic  |                       1 |            200 |        40.8187  |
| periodic * periodic  |                       1 |            300 |        33.3819  |
| periodic * periodic  |                       1 |            400 |        28.8426  |
| periodic * periodic  |                       1 |            500 |        25.7183  |
| periodic + RQ        |                       1 |              0 |       142.049   |
| periodic + RQ        |                       1 |            100 |        19.2152  |
| periodic + RQ        |                       1 |            200 |        14.2583  |
| periodic + RQ        |                       1 |            300 |        11.9249  |
| periodic + RQ        |                       1 |            400 |        10.4756  |
| periodic + RQ        |                       1 |            500 |         9.46502 |
| periodic * RQ        |                       1 |              0 |       224.527   |
| periodic * RQ        |                       1 |            100 |        34.1513  |
| periodic * RQ        |                       1 |            200 |        24.7504  |
| periodic * RQ        |                       1 |            300 |        20.3585  |
| periodic * RQ        |                       1 |            400 |        17.6432  |
| periodic * RQ        |                       1 |            500 |        15.751   |
| periodic + SE        |                       1 |              0 |       195.288   |
| periodic + SE        |                       1 |            100 |        23.1511  |
| periodic + SE        |                       1 |            200 |        16.7478  |
| periodic + SE        |                       1 |            300 |        13.9523  |
| periodic + SE        |                       1 |            400 |        12.2536  |
| periodic + SE        |                       1 |            500 |        11.0786  |
| periodic * SE        |                       1 |              0 |       258.977   |
| periodic * SE        |                       1 |            100 |        38.004   |
| periodic * SE        |                       1 |            200 |        27.3858  |
| periodic * SE        |                       1 |            300 |        22.4342  |
| periodic * SE        |                       1 |            400 |        19.396   |
| periodic * SE        |                       1 |            500 |        17.2949  |
| RQ + RQ              |                       1 |              0 |       107.873   |
| RQ + RQ              |                       1 |            100 |        17.9106  |
| RQ + RQ              |                       1 |            200 |        13.308   |
| RQ + RQ              |                       1 |            300 |        11.1389  |
| RQ + RQ              |                       1 |            400 |         9.79447 |
| RQ + RQ              |                       1 |            500 |         8.85631 |
| RQ * RQ              |                       1 |              0 |       217.206   |
| RQ * RQ              |                       1 |            100 |        33.5696  |
| RQ * RQ              |                       1 |            200 |        24.4036  |
| RQ * RQ              |                       1 |            300 |        20.0831  |
| RQ * RQ              |                       1 |            400 |        17.4066  |
| RQ * RQ              |                       1 |            500 |        15.5396  |
| RQ + SE              |                       1 |              0 |       146.554   |
| RQ + SE              |                       1 |            100 |        19.853   |
| RQ + SE              |                       1 |            200 |        14.3404  |
| RQ + SE              |                       1 |            300 |        11.9987  |
| RQ + SE              |                       1 |            400 |        10.5475  |
| RQ + SE              |                       1 |            500 |         9.53428 |
| RQ * SE              |                       1 |              0 |       219.926   |
| RQ * SE              |                       1 |            100 |        33.7785  |
| RQ * SE              |                       1 |            200 |        24.533   |
| RQ * SE              |                       1 |            300 |        20.1791  |
| RQ * SE              |                       1 |            400 |        17.4843  |
| RQ * SE              |                       1 |            500 |        15.6061  |
| SE + SE              |                       1 |              0 |       200.38    |
| SE + SE              |                       1 |            100 |        24.2814  |
| SE + SE              |                       1 |            200 |        16.5966  |
| SE + SE              |                       1 |            300 |        13.6147  |
| SE + SE              |                       1 |            400 |        11.9485  |
| SE + SE              |                       1 |            500 |        10.8278  |
| SE * SE              |                       1 |              0 |       233.599   |
| SE * SE              |                       1 |            100 |        35.0347  |
| SE * SE              |                       1 |            200 |        25.4715  |
| SE * SE              |                       1 |            300 |        20.986   |
| SE * SE              |                       1 |            400 |        18.2176  |
| SE * SE              |                       1 |            500 |        16.2935  |

| Kernel Combination   |   Initialization Number |   Epoch Number |   Training Loss |
|----------------------|-------------------------|----------------|-----------------|
| RQ + RQ + RQ + RQ    |                       1 |              0 |        56.5063  |
