| Kernel Combination             |   Initialization Number |   Training Loss |
|--------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic |                       1 |        32.9268  |
| periodic + periodic * periodic |                       1 |        34.5008  |
| periodic * periodic * periodic |                       1 |        40.4068  |
| periodic + periodic + RQ       |                       1 |         8.86968 |
| periodic + periodic * RQ       |                       1 |         9.39965 |
| periodic * periodic + RQ       |                       1 |         9.49305 |
| periodic * periodic * RQ       |                       1 |        16.8419  |
| periodic + periodic + SE       |                       1 |         9.09407 |
| periodic + periodic * SE       |                       1 |        16.3333  |
| periodic * periodic + SE       |                       1 |        10.3349  |
| periodic * periodic * SE       |                       1 |        20.7207  |
| periodic + RQ + RQ             |                       1 |         9.84502 |
| periodic + RQ * RQ             |                       1 |         9.88673 |
| periodic * RQ + RQ             |                       1 |         8.00946 |
| periodic * RQ * RQ             |                       1 |        16.6897  |
| periodic + RQ + SE             |                       1 |        10.3174  |
| periodic + RQ * SE             |                       1 |        16.1567  |
| periodic * RQ + SE             |                       1 |        10.2086  |
| periodic * RQ * SE             |                       1 |        18.9833  |
| periodic + SE + SE             |                       1 |        12.8157  |
| periodic + SE * SE             |                       1 |        17.0334  |
| periodic * SE + SE             |                       1 |        12.64    |
| periodic * SE * SE             |                       1 |        21.907   |
| RQ + RQ + RQ                   |                       1 |        11.5848  |
| RQ + RQ * RQ                   |                       1 |         9.47165 |
| RQ * RQ * RQ                   |                       1 |        16.2116  |
| RQ + RQ + SE                   |                       1 |        13.232   |
| RQ + RQ * SE                   |                       1 |        20.0222  |
| RQ * RQ + SE                   |                       1 |        10.1188  |
| RQ * RQ * SE                   |                       1 |        18.7861  |
| RQ + SE + SE                   |                       1 |        18.0651  |
| RQ + SE * SE                   |                       1 |        21.4639  |
| RQ * SE + SE                   |                       1 |        13.0644  |
| RQ * SE * SE                   |                       1 |        21.9513  |
| SE + SE + SE                   |                       1 |        23.4821  |
| SE + SE * SE                   |                       1 |        19.4021  |
| SE * SE * SE                   |                       1 |        27.2383  |

| Kernel Combination                      |   Initialization Number |   Training Loss |
|-----------------------------------------|-------------------------|-----------------|
| periodic * RQ + RQ + periodic * RQ + RQ |                       1 |        10.1974  |
| periodic * RQ + RQ * periodic * RQ + RQ |                       1 |         4.52024 |

| Kernel Combination                                  |   Initialization Number |   Training Loss |
|-----------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic * RQ + RQ |                       1 |         4.66714 |
| periodic + periodic + periodic * periodic * RQ + RQ |                       1 |         3.26279 |
| periodic + periodic * periodic + periodic * RQ + RQ |                       1 |         5.93372 |
| periodic + periodic * periodic * periodic * RQ + RQ |                       1 |         4.3312  |
| periodic * periodic + periodic * periodic * RQ + RQ |                       1 |         5.85438 |
| periodic * periodic * periodic + periodic * RQ + RQ |                       1 |         6.92998 |
| periodic * periodic * periodic * periodic * RQ + RQ |                       1 |         9.42022 |
| periodic + periodic + RQ + periodic * RQ + RQ       |                       1 |         5.20487 |
| periodic + periodic + RQ * periodic * RQ + RQ       |                       1 |         3.2119  |
| periodic + periodic * RQ + periodic * RQ + RQ       |                       1 |         5.86021 |
| periodic + periodic * RQ * periodic * RQ + RQ       |                       1 |         4.91952 |
| periodic * periodic + RQ + periodic * RQ + RQ       |                       1 |         5.77522 |
| periodic * periodic + RQ * periodic * RQ + RQ       |                       1 |         5.82758 |
| periodic * periodic * RQ + periodic * RQ + RQ       |                       1 |         6.90155 |
| periodic * periodic * RQ * periodic * RQ + RQ       |                       1 |         9.38061 |
