| Kernel Combination             |   Initialization Number |   Training Loss |
| periodic + RQ + RQ + periodic + SE + Matern             |                       1 |       -0.59553  |
| periodic + RQ + RQ * periodic + SE + Matern             |                       1 |       -0.600855 |
| periodic + RQ * RQ + periodic + SE + Matern             |                       1 |       -0.59698  |
| periodic + RQ * RQ * periodic + SE + Matern             |                       1 |       -0.60728  |
| periodic * RQ + RQ * periodic + SE + Matern             |                       1 |       -0.607007 |
| periodic * RQ * RQ * periodic + SE + Matern             |                       1 |       -0.607011 |
| periodic + RQ + SE + periodic + SE + Matern             |                       1 |       -0.597414 |
| periodic + RQ + SE * periodic + SE + Matern             |                       1 |       -0.595546 |
| periodic + RQ * SE + periodic + SE + Matern             |                       1 |       -0.59275  |
| periodic + RQ * SE * periodic + SE + Matern             |                       1 |       -0.598348 |
| periodic * RQ + SE + periodic + SE + Matern             |                       1 |       -0.592776 |
| periodic * RQ + SE * periodic + SE + Matern             |                       1 |       -0.598347 |
| periodic * RQ * SE * periodic + SE + Matern             |                       1 |       -0.606982 |
| periodic + RQ + Matern + periodic + SE + Matern         |                       1 |       -0.591659 |
| periodic + RQ + Matern * periodic + SE + Matern         |                       1 |       -0.595498 |
| periodic + RQ * Matern + periodic + SE + Matern         |                       1 |       -0.592759 |
| periodic + RQ * Matern * periodic + SE + Matern         |                       1 |       -0.598297 |
| periodic * RQ + Matern + periodic + SE + Matern         |                       1 |       -0.592766 |
| periodic * RQ + Matern * periodic + SE + Matern         |                       1 |       -0.5982   |
| periodic * RQ * Matern * periodic + SE + Matern         |                       1 |       -0.606971 |
| periodic + SE + SE + periodic + SE + Matern             |                       1 |       -0.588221 |
| periodic + SE + SE * periodic + SE + Matern             |                       1 |       -0.591996 |
| periodic + SE * SE + periodic + SE + Matern             |                       1 |       -0.589184 |
| periodic + SE * SE * periodic + SE + Matern             |                       1 |       -0.592038 |
| periodic * SE + SE * periodic + SE + Matern             |                       1 |       -0.592045 |
| periodic * SE * SE * periodic + SE + Matern             |                       1 |       -0.59205  |
| periodic + SE + Matern + periodic + SE + Matern         |                       1 |       -0.591949 |
| periodic + SE + Matern * periodic + SE + Matern         |                       1 |       -0.596213 |
| periodic + SE * Matern + periodic + SE + Matern         |                       1 |       -0.596235 |
| periodic + SE * Matern * periodic + SE + Matern         |                       1 |       -0.604459 |
| periodic * SE + Matern + periodic + SE + Matern         |                       1 |       -0.593134 |
| periodic * SE + Matern * periodic + SE + Matern         |                       1 |       -0.59815  |
| periodic * SE * Matern * periodic + SE + Matern         |                       1 |       -0.604485 |
| periodic + Matern + Matern + periodic + SE + Matern     |                       1 |       -0.594633 |
| periodic + Matern + Matern * periodic + SE + Matern     |                       1 |       -0.60551  |
| periodic + Matern * Matern + periodic + SE + Matern     |                       1 |       -0.597398 |
| periodic + Matern * Matern * periodic + SE + Matern     |                       1 |       -0.605214 |
| periodic * Matern + Matern * periodic + SE + Matern     |                       1 |       -0.604502 |
| periodic * Matern * Matern * periodic + SE + Matern     |                       1 |       -0.603844 |
| RQ + RQ + RQ + periodic + SE + Matern                   |                       1 |       -0.59826  |
| RQ + RQ + RQ * periodic + SE + Matern                   |                       1 |       -0.606986 |
| RQ + RQ * RQ + periodic + SE + Matern                   |                       1 |       -0.596719 |
| RQ + RQ * RQ * periodic + SE + Matern                   |                       1 |       -0.606993 |
| RQ * RQ + RQ * periodic + SE + Matern                   |                       1 |       -0.607223 |
| RQ * RQ * RQ + periodic + SE + Matern                   |                       1 |       -0.593933 |
| RQ * RQ * RQ * periodic + SE + Matern                   |                       1 |       -0.606979 |
| RQ + RQ + SE + periodic + SE + Matern                   |                       1 |       -0.595525 |
| RQ + RQ + SE * periodic + SE + Matern                   |                       1 |       -0.600901 |
| RQ + RQ * SE + periodic + SE + Matern                   |                       1 |       -0.596703 |
| RQ + RQ * SE * periodic + SE + Matern                   |                       1 |       -0.607003 |
| RQ * RQ + SE + periodic + SE + Matern                   |                       1 |       -0.592822 |
| RQ * RQ + SE * periodic + SE + Matern                   |                       1 |       -0.598336 |
| RQ * RQ * SE + periodic + SE + Matern                   |                       1 |       -0.593957 |
| RQ * RQ * SE * periodic + SE + Matern                   |                       1 |       -0.606965 |
| RQ + RQ + Matern + periodic + SE + Matern               |                       1 |       -0.595494 |
| RQ + RQ + Matern * periodic + SE + Matern               |                       1 |       -0.600808 |
| RQ + RQ * Matern + periodic + SE + Matern               |                       1 |       -0.596718 |
| RQ + RQ * Matern * periodic + SE + Matern               |                       1 |       -0.607002 |
| RQ * RQ + Matern + periodic + SE + Matern               |                       1 |       -0.592769 |
| RQ * RQ + Matern * periodic + SE + Matern               |                       1 |       -0.598286 |
| RQ * RQ * Matern + periodic + SE + Matern               |                       1 |       -0.593942 |
| RQ * RQ * Matern * periodic + SE + Matern               |                       1 |       -0.606973 |
| RQ + SE + SE + periodic + SE + Matern                   |                       1 |       -0.59165  |
| RQ + SE + SE * periodic + SE + Matern                   |                       1 |       -0.595604 |
| RQ + SE * SE + periodic + SE + Matern                   |                       1 |       -0.59277  |
| RQ + SE * SE * periodic + SE + Matern                   |                       1 |       -0.59838  |
| RQ * SE + SE + periodic + SE + Matern                   |                       1 |       -0.592807 |
| RQ * SE + SE * periodic + SE + Matern                   |                       1 |       -0.598339 |
| RQ * SE * SE + periodic + SE + Matern                   |                       1 |       -0.593947 |
| RQ * SE * SE * periodic + SE + Matern                   |                       1 |       -0.606995 |
| RQ + SE + Matern + periodic + SE + Matern               |                       1 |       -0.591642 |
| RQ + SE + Matern * periodic + SE + Matern               |                       1 |       -0.595457 |
| RQ + SE * Matern + periodic + SE + Matern               |                       1 |       -0.59278  |
| RQ + SE * Matern * periodic + SE + Matern               |                       1 |       -0.598367 |
| RQ * SE + Matern + periodic + SE + Matern               |                       1 |       -0.592762 |
| RQ * SE + Matern * periodic + SE + Matern               |                       1 |       -0.598192 |
| RQ * SE * Matern + periodic + SE + Matern               |                       1 |       -0.593968 |
| RQ * SE * Matern * periodic + SE + Matern               |                       1 |       -0.607019 |
| RQ + Matern + Matern + periodic + SE + Matern           |                       1 |       -0.591594 |
| RQ + Matern + Matern * periodic + SE + Matern           |                       1 |       -0.595464 |
| RQ + Matern * Matern + periodic + SE + Matern           |                       1 |       -0.592778 |
| RQ + Matern * Matern * periodic + SE + Matern           |                       1 |       -0.598299 |
| RQ * Matern + Matern + periodic + SE + Matern           |                       1 |       -0.592768 |
| RQ * Matern + Matern * periodic + SE + Matern           |                       1 |       -0.598245 |
| RQ * Matern * Matern + periodic + SE + Matern           |                       1 |       -0.593959 |
| RQ * Matern * Matern * periodic + SE + Matern           |                       1 |       -0.606959 |
| SE + SE + SE + periodic + SE + Matern                   |                       1 |       -0.588286 |
| SE + SE + SE * periodic + SE + Matern                   |                       1 |       -0.592053 |
| SE + SE * SE + periodic + SE + Matern                   |                       1 |       -0.58919  |
| SE + SE * SE * periodic + SE + Matern                   |                       1 |       -0.592054 |
| SE * SE + SE * periodic + SE + Matern                   |                       1 |       -0.592019 |
| SE * SE * SE + periodic + SE + Matern                   |                       1 |       -0.590356 |
| SE * SE * SE * periodic + SE + Matern                   |                       1 |       -0.592035 |
| SE + SE + Matern + periodic + SE + Matern               |                       1 |       -0.592035 |
| SE + SE + Matern * periodic + SE + Matern               |                       1 |       -0.596226 |
| SE + SE * Matern + periodic + SE + Matern               |                       1 |       -0.596279 |
| SE + SE * Matern * periodic + SE + Matern               |                       1 |       -0.604447 |
| SE * SE + Matern + periodic + SE + Matern               |                       1 |       -0.593185 |
| SE * SE + Matern * periodic + SE + Matern               |                       1 |       -0.598139 |
| SE * SE * Matern + periodic + SE + Matern               |                       1 |       -0.594769 |
| SE * SE * Matern * periodic + SE + Matern               |                       1 |       -0.604499 |
| SE + Matern + Matern + periodic + SE + Matern           |                       1 |       -0.594736 |
| SE + Matern + Matern * periodic + SE + Matern           |                       1 |       -0.605538 |
| SE + Matern * Matern + periodic + SE + Matern           |                       1 |       -0.597403 |
| SE + Matern * Matern * periodic + SE + Matern           |                       1 |       -0.605238 |
| SE * Matern + Matern + periodic + SE + Matern           |                       1 |       -0.596254 |
| SE * Matern + Matern * periodic + SE + Matern           |                       1 |       -0.604495 |
| SE * Matern * Matern + periodic + SE + Matern           |                       1 |       -0.596322 |
| SE * Matern * Matern * periodic + SE + Matern           |                       1 |       -0.603837 |
| Matern + Matern + Matern + periodic + SE + Matern       |                       1 |       -0.597259 |
| Matern + Matern + Matern * periodic + SE + Matern       |                       1 |       -0.604469 |
| Matern + Matern * Matern + periodic + SE + Matern       |                       1 |       -0.597826 |
| Matern + Matern * Matern * periodic + SE + Matern       |                       1 |       -0.603832 |
| Matern * Matern + Matern * periodic + SE + Matern       |                       1 |       -0.605208 |
| Matern * Matern * Matern + periodic + SE + Matern       |                       1 |       -0.597808 |
| Matern * Matern * Matern * periodic + SE + Matern       |                       1 |       -0.603196 |

