| Kernel Combination                                                         |   Initialization Number |   Training Loss |
| periodic * periodic * periodic * periodic * periodic * periodic * SE       |                       1 |        17.4684  |
| periodic + periodic + periodic + periodic + periodic + RQ + RQ             |                       1 |         5.2135  |
| periodic + periodic + periodic + periodic + periodic + RQ * RQ             |                       1 |         3.29299 |
| periodic + periodic + periodic + periodic + periodic * RQ + RQ             |                       1 |         2.95149 |
| periodic + periodic + periodic + periodic + periodic * RQ * RQ             |                       1 |         4.42945 |
| periodic + periodic + periodic + periodic * periodic + RQ + RQ             |                       1 |         4.74389 |
| periodic + periodic + periodic + periodic * periodic + RQ * RQ             |                       1 |         3.70152 |
| periodic + periodic + periodic + periodic * periodic * RQ + RQ             |                       1 |         5.12025 |
| periodic + periodic + periodic + periodic * periodic * RQ * RQ             |                       1 |         4.44199 |
| periodic + periodic + periodic * periodic + periodic * RQ + RQ             |                       1 |         5.07711 |
| periodic + periodic + periodic * periodic + periodic * RQ * RQ             |                       1 |         5.8117  |
| periodic + periodic + periodic * periodic * periodic + RQ + RQ             |                       1 |         5.14897 |
| periodic + periodic + periodic * periodic * periodic + RQ * RQ             |                       1 |         5.90149 |
| periodic + periodic + periodic * periodic * periodic * RQ + RQ             |                       1 |         5.75209 |
| periodic + periodic + periodic * periodic * periodic * RQ * RQ             |                       1 |         6.98119 |
| periodic + periodic * periodic + periodic * periodic + RQ + RQ             |                       1 |         5.12661 |
| periodic + periodic * periodic + periodic * periodic + RQ * RQ             |                       1 |         5.87312 |
| periodic + periodic * periodic + periodic * periodic * RQ + RQ             |                       1 |         5.72868 |
| periodic + periodic * periodic + periodic * periodic * RQ * RQ             |                       1 |         6.9469  |
| periodic + periodic * periodic * periodic + periodic * RQ + RQ             |                       1 |         5.71296 |
| periodic + periodic * periodic * periodic + periodic * RQ * RQ             |                       1 |         6.93231 |
| periodic + periodic * periodic * periodic * periodic + RQ + RQ             |                       1 |         5.79186 |
| periodic + periodic * periodic * periodic * periodic + RQ * RQ             |                       1 |         7.0032  |
| periodic + periodic * periodic * periodic * periodic * RQ + RQ             |                       1 |         6.87641 |
| periodic + periodic * periodic * periodic * periodic * RQ * RQ             |                       1 |         9.2784  |
| periodic * periodic + periodic * periodic + periodic * RQ + RQ             |                       1 |         5.71525 |
| periodic * periodic + periodic * periodic + periodic * RQ * RQ             |                       1 |         6.91649 |
| periodic * periodic + periodic * periodic * periodic + RQ + RQ             |                       1 |         5.78303 |
| periodic * periodic + periodic * periodic * periodic + RQ * RQ             |                       1 |         6.98898 |
| periodic * periodic + periodic * periodic * periodic * RQ + RQ             |                       1 |         6.86322 |
| periodic * periodic + periodic * periodic * periodic * RQ * RQ             |                       1 |         9.25233 |
| periodic * periodic * periodic + periodic * periodic * RQ + RQ             |                       1 |         6.86601 |
| periodic * periodic * periodic + periodic * periodic * RQ * RQ             |                       1 |         9.24022 |
| periodic * periodic * periodic * periodic + periodic * RQ + RQ             |                       1 |         6.86161 |
| periodic * periodic * periodic * periodic + periodic * RQ * RQ             |                       1 |         9.23144 |
| periodic * periodic * periodic * periodic * periodic + RQ + RQ             |                       1 |         6.8979  |
| periodic * periodic * periodic * periodic * periodic + RQ * RQ             |                       1 |         9.26313 |
| periodic * periodic * periodic * periodic * periodic * RQ + RQ             |                       1 |         9.14656 |
| periodic * periodic * periodic * periodic * periodic * RQ * RQ             |                       1 |        16.1492  |
| periodic + periodic + periodic + periodic + periodic + RQ + SE             |                       1 |         5.20259 |
| periodic + periodic + periodic + periodic + periodic + RQ * SE             |                       1 |         7.30893 |
| periodic + periodic + periodic + periodic + periodic * RQ + SE             |                       1 |         4.22266 |
| periodic + periodic + periodic + periodic + periodic * RQ * SE             |                       1 |         3.95858 |
| periodic + periodic + periodic + periodic * periodic + RQ + SE             |                       1 |         4.64688 |
| periodic + periodic + periodic + periodic * periodic + RQ * SE             |                       1 |         5.35303 |
| periodic + periodic + periodic + periodic * periodic * RQ + SE             |                       1 |         3.46834 |
| periodic + periodic + periodic + periodic * periodic * RQ * SE             |                       1 |         4.21354 |
| periodic + periodic + periodic * periodic + periodic * RQ + SE             |                       1 |         5.08835 |
| periodic + periodic + periodic * periodic + periodic * RQ * SE             |                       1 |         5.86461 |
| periodic + periodic + periodic * periodic * periodic + RQ + SE             |                       1 |         4.37796 |
| periodic + periodic + periodic * periodic * periodic + RQ * SE             |                       1 |         5.90078 |
| periodic + periodic + periodic * periodic * periodic * RQ + SE             |                       1 |         5.86673 |
| periodic + periodic + periodic * periodic * periodic * RQ * SE             |                       1 |         7.05275 |
| periodic + periodic * periodic + periodic * periodic + RQ + SE             |                       1 |         5.14592 |
| periodic + periodic * periodic + periodic * periodic + RQ * SE             |                       1 |         5.77306 |
| periodic + periodic * periodic + periodic * periodic * RQ + SE             |                       1 |         5.81198 |
| periodic + periodic * periodic + periodic * periodic * RQ * SE             |                       1 |         6.94842 |
| periodic + periodic * periodic * periodic + periodic * RQ + SE             |                       1 |         5.73063 |
| periodic + periodic * periodic * periodic + periodic * RQ * SE             |                       1 |         6.91715 |
| periodic + periodic * periodic * periodic * periodic + RQ + SE             |                       1 |         5.80586 |
| periodic + periodic * periodic * periodic * periodic + RQ * SE             |                       1 |         6.9132  |
| periodic + periodic * periodic * periodic * periodic * RQ + SE             |                       1 |         6.91469 |
| periodic + periodic * periodic * periodic * periodic * RQ * SE             |                       1 |         9.26225 |
| periodic * periodic + periodic * periodic + periodic * RQ + SE             |                       1 |         5.71252 |
| periodic * periodic + periodic * periodic + periodic * RQ * SE             |                       1 |         6.88774 |
| periodic * periodic + periodic * periodic * periodic + RQ + SE             |                       1 |         5.79462 |
| periodic * periodic + periodic * periodic * periodic + RQ * SE             |                       1 |         6.8898  |
| periodic * periodic + periodic * periodic * periodic * RQ + SE             |                       1 |         6.90002 |
| periodic * periodic + periodic * periodic * periodic * RQ * SE             |                       1 |         9.22303 |
| periodic * periodic * periodic + periodic * periodic * RQ + SE             |                       1 |         6.8625  |
| periodic * periodic * periodic + periodic * periodic * RQ * SE             |                       1 |         9.20801 |
| periodic * periodic * periodic * periodic + periodic * RQ + SE             |                       1 |         6.8569  |
| periodic * periodic * periodic * periodic + periodic * RQ * SE             |                       1 |         9.19691 |
| periodic * periodic * periodic * periodic * periodic + RQ + SE             |                       1 |         6.90457 |
| periodic * periodic * periodic * periodic * periodic + RQ * SE             |                       1 |         9.19663 |
| periodic * periodic * periodic * periodic * periodic * RQ + SE             |                       1 |         9.14597 |
| periodic * periodic * periodic * periodic * periodic * RQ * SE             |                       1 |        16.1913  |
| periodic + periodic + periodic + periodic + periodic + SE + SE             |                       1 |         5.23997 |
| periodic + periodic + periodic + periodic + periodic + SE * SE             |                       1 |         6.87842 |
| periodic + periodic + periodic + periodic + periodic * SE + SE             |                       1 |         5.80945 |
| periodic + periodic + periodic + periodic + periodic * SE * SE             |                       1 |         6.52441 |
| periodic + periodic + periodic + periodic * periodic + SE + SE             |                       1 |         4.85085 |
| periodic + periodic + periodic + periodic * periodic + SE * SE             |                       1 |         6.22973 |
| periodic + periodic + periodic + periodic * periodic * SE + SE             |                       1 |         6.24367 |
| periodic + periodic + periodic + periodic * periodic * SE * SE             |                       1 |         7.2691  |
