| Kernel Combination                        |   Initialization Number |   Training Loss |
|-------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic |                       1 |        32.1271  |
| periodic + periodic + periodic * periodic |                       1 |        32.4679  |
| periodic + periodic * periodic * periodic |                       1 |        34.271   |
| periodic * periodic + periodic * periodic |                       1 |        33.9139  |
| periodic * periodic * periodic * periodic |                       1 |        39.847   |
| periodic + periodic + periodic + RQ       |                       1 |         7.27636 |
| periodic + periodic + periodic * RQ       |                       1 |         7.8608  |
| periodic + periodic * periodic + RQ       |                       1 |         7.19658 |
| periodic + periodic * periodic * RQ       |                       1 |         9.41177 |
| periodic * periodic + periodic * RQ       |                       1 |         9.35976 |
| periodic * periodic * periodic + RQ       |                       1 |         9.20329 |
| periodic * periodic * periodic * RQ       |                       1 |        16.6283  |
| periodic + periodic + periodic + SE       |                       1 |         7.75579 |
| periodic + periodic + periodic * SE       |                       1 |        12.7811  |
| periodic + periodic * periodic + SE       |                       1 |         7.49988 |
| periodic + periodic * periodic * SE       |                       1 |        12.4848  |
| periodic * periodic + periodic * SE       |                       1 |        11.6638  |
| periodic * periodic * periodic + SE       |                       1 |         9.91644 |
| periodic * periodic * periodic * SE       |                       1 |        20.018   |
| periodic + periodic + RQ + RQ             |                       1 |         7.73716 |
| periodic + periodic + RQ * RQ             |                       1 |         5.73886 |
| periodic + periodic * RQ + RQ             |                       1 |         7.0493  |
| periodic + periodic * RQ * RQ             |                       1 |         9.43727 |
| periodic * periodic + RQ + RQ             |                       1 |         6.94405 |
| periodic * periodic + RQ * RQ             |                       1 |         9.3393  |
| periodic * periodic * RQ + RQ             |                       1 |         9.20098 |
| periodic * periodic * RQ * RQ             |                       1 |        16.3001  |
| periodic + periodic + RQ + SE             |                       1 |         7.69174 |
| periodic + periodic + RQ * SE             |                       1 |        11.1989  |
| periodic + periodic * RQ + SE             |                       1 |         7.27034 |
| periodic + periodic * RQ * SE             |                       1 |        10.7504  |
| periodic * periodic + RQ + SE             |                       1 |         6.91901 |
| periodic * periodic + RQ * SE             |                       1 |         9.45238 |
| periodic * periodic * RQ + SE             |                       1 |         9.21054 |
| periodic * periodic * RQ * SE             |                       1 |        16.3623  |
| periodic + periodic + SE + SE             |                       1 |         8.67746 |
| periodic + periodic + SE * SE             |                       1 |        11.476   |
| periodic + periodic * SE + SE             |                       1 |         8.77202 |
| periodic + periodic * SE * SE             |                       1 |        11.3854  |
| periodic * periodic + SE + SE             |                       1 |         6.95609 |
| periodic * periodic + SE * SE             |                       1 |         9.49579 |
| periodic * periodic * SE + SE             |                       1 |         9.26275 |
| periodic * periodic * SE * SE             |                       1 |        16.2862  |
| periodic + RQ + RQ + RQ                   |                       1 |         8.42962 |
| periodic + RQ + RQ * RQ                   |                       1 |         7.29686 |
| periodic + RQ * RQ * RQ                   |                       1 |         9.44635 |
| periodic * RQ + RQ + RQ                   |                       1 |         6.9199  |
| periodic * RQ + RQ * RQ                   |                       1 |         9.27538 |
| periodic * RQ * RQ + RQ                   |                       1 |         9.17374 |
| periodic * RQ * RQ * RQ                   |                       1 |        16.2146  |
| periodic + RQ + RQ + SE                   |                       1 |         8.33827 |
| periodic + RQ + RQ * SE                   |                       1 |        11.8594  |
| periodic + RQ * RQ + SE                   |                       1 |         7.19257 |
| periodic + RQ * RQ * SE                   |                       1 |        10.7731  |
| periodic * RQ + RQ + SE                   |                       1 |         6.8961  |
| periodic * RQ + RQ * SE                   |                       1 |         9.43972 |
| periodic * RQ * RQ + SE                   |                       1 |         9.17463 |
| periodic * RQ * RQ * SE                   |                       1 |        16.2473  |
| periodic + RQ + SE + SE                   |                       1 |         9.13105 |
| periodic + RQ + SE * SE                   |                       1 |        12.0808  |
| periodic + RQ * SE + SE                   |                       1 |         7.09108 |
| periodic + RQ * SE * SE                   |                       1 |        11.6251  |
| periodic * RQ + SE + SE                   |                       1 |         7.03457 |
| periodic * RQ + SE * SE                   |                       1 |         9.59023 |
| periodic * RQ * SE + SE                   |                       1 |         9.22309 |
| periodic * RQ * SE * SE                   |                       1 |        16.4399  |
| periodic + SE + SE + SE                   |                       1 |        10.5906  |
| periodic + SE + SE * SE                   |                       1 |        12.1537  |
| periodic + SE * SE * SE                   |                       1 |        14.012   |
| periodic * SE + SE + SE                   |                       1 |         8.74903 |
| periodic * SE + SE * SE                   |                       1 |        11.8187  |
| periodic * SE * SE + SE                   |                       1 |        11.011   |
| periodic * SE * SE * SE                   |                       1 |        18.877   |
| RQ + RQ + RQ + RQ                         |                       1 |         9.5795  |
| RQ + RQ + RQ * RQ                         |                       1 |         7.0943  |
| RQ + RQ * RQ * RQ                         |                       1 |         9.27269 |
| RQ * RQ + RQ * RQ                         |                       1 |         9.14629 |
| RQ * RQ * RQ * RQ                         |                       1 |        15.9952  |
| RQ + RQ + RQ + SE                         |                       1 |        11.031   |
| RQ + RQ + RQ * SE                         |                       1 |        15.4787  |
| RQ + RQ * RQ + SE                         |                       1 |         7.09367 |
| RQ + RQ * RQ * SE                         |                       1 |        10.9457  |
| RQ * RQ + RQ * SE                         |                       1 |         9.85023 |
| RQ * RQ * RQ + SE                         |                       1 |         9.17499 |
| RQ * RQ * RQ * SE                         |                       1 |        16.2198  |
| RQ + RQ + SE + SE                         |                       1 |        12.0411  |
| RQ + RQ + SE * SE                         |                       1 |        15.1494  |
| RQ + RQ * SE + SE                         |                       1 |         9.61308 |
| RQ + RQ * SE * SE                         |                       1 |        12.3246  |
| RQ * RQ + SE + SE                         |                       1 |         7.0993  |
| RQ * RQ + SE * SE                         |                       1 |         9.70961 |
| RQ * RQ * SE + SE                         |                       1 |         9.21324 |
| RQ * RQ * SE * SE                         |                       1 |        16.3931  |
| RQ + SE + SE + SE                         |                       1 |        15.4832  |
| RQ + SE + SE * SE                         |                       1 |        15.443   |
| RQ + SE * SE * SE                         |                       1 |        15.9803  |
| RQ * SE + SE + SE                         |                       1 |         7.9089  |
| RQ * SE + SE * SE                         |                       1 |        10.5723  |
| RQ * SE * SE + SE                         |                       1 |         9.50421 |
| RQ * SE * SE * SE                         |                       1 |        17.2388  |
| SE + SE + SE + SE                         |                       1 |        21.5574  |
| SE + SE + SE * SE                         |                       1 |        14.7761  |
| SE + SE * SE * SE                         |                       1 |        15.8701  |
| SE * SE + SE * SE                         |                       1 |        12.5983  |
| SE * SE * SE * SE                         |                       1 |        21.7794  |

| Kernel Combination                                            |   Initialization Number |   Training Loss |
|---------------------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + RQ * RQ + periodic + periodic + RQ * RQ |                       1 |         7.19918 |
| periodic + periodic + RQ * RQ * periodic + periodic + RQ * RQ |                       1 |         2.50889 |

| Kernel Combination                                                        |   Initialization Number |   Training Loss |
|---------------------------------------------------------------------------|-------------------------|-----------------|
| periodic + periodic + periodic + periodic + periodic + periodic + RQ * RQ |                       1 |         3.66055 |
| periodic + periodic + periodic + periodic * periodic + periodic + RQ * RQ |                       1 |         1.88189 |
| periodic + periodic + periodic * periodic * periodic + periodic + RQ * RQ |                       1 |         2.22537 |
| periodic + periodic * periodic + periodic * periodic + periodic + RQ * RQ |                       1 |         2.20305 |
| periodic + periodic * periodic * periodic * periodic + periodic + RQ * RQ |                       1 |         3.02163 |
| periodic * periodic + periodic * periodic * periodic + periodic + RQ * RQ |                       1 |         3.35352 |
